Anno,Regione,Comune,Localita,Codice stazione,Bacino idrografico,Corpo idrico,Livello di contaminazione,Campioni,Misure,n misure positive,Sostanze cercate,Sostanze trovate,Pesticidi totali,x,y
2020,Sardegna,,,0227-CF000102-ST01,,FLUMINI MANNU DI PABILLONIS,Superiore ai limiti,9,117,11,40,3,1.176,963968.0135601576,4818398.431706399
2020,Puglia,Rignano Garganico,Torrente Salsola,CA_SA03,Candelaro,Salsola confl. Candelaro,Superiore ai limiti,4,588,10,140,2,1.7072,1737711.2661478606,5102101.798453162
2020,Puglia,San Marco in Lamis,Torrente Candelaro,CA_TC04,Candelaro,Candelaro confl. Triolo-confl. Salsola_17,Superiore ai limiti,4,596,22,142,5,17.9586,1740515.0090741906,5105147.349241292
2020,Puglia,San Marco in Lamis,Torrente Candelaro,CA_TC05,Candelaro,Candelaro confl. Salsola - confl. Celone_17,Superiore ai limiti,4,588,11,140,2,5.606,1744129.9687847646,5102739.272433103
2020,Lazio,Pontecorvo,,F1.08,Liri-Garigliano,Fiume Liri-Garigliano 3,Entro i limiti,12,1380,15,115,2,0.059008,1521374.1663041315,5079041.796298102
2020,Provincia Autonoma di Trento,CLES,BACINO DI SANTA GIUSTINA - CLES,SGLA0011,Noce,LAGO DI S.GIUSTINA,Entro i limiti,9,1076,2,120,1,0.05,1230461.6023479856,5838576.94903141
2020,Umbria,Guardea,Alviano,IT10TVR13,TEVERE,Fiume Tevere dal punto di immissione della centrale di Baschi alla traversa di Alviano,Superiore ai limiti,11,1118,31,97,2,0.95,1362467.9800953043,5253306.1369207995
2020,Campania,Apice(BN),PonteRotto,C7,VOLTURNO,CALOREVOLTURNO,Superiore ai limiti,4,328,5,75,2,1.18,1662430.7843132264,5025017.390276499
2020,Campania,Vairano (CE),Ponte SS 85 - Rio Fantorsi,CER1,VOLTURNO,RIO CERRITO,Entro i limiti,6,480,5,71,2,0.6,1570191.6965170954,5064207.080039929
2020,Campania,Nola(NA),PonteRotatoriaR2VulcanoBuonolatoAuchan,DG2,REGILAGNI,DELGAUDO,Entro i limiti,2,4,2,4,2,0.26,1613083.7609516664,5005564.917956308
2020,Provincia Autonoma di Trento,AVIO,FOCE A MONTE DEL PONTE SULLA STRADA STERRATA DX ADIGE,SD000130,Adige,TORRENTE AVIANA,Entro i limiti,4,472,1,119,1,0.22,1218076.4172932715,5737275.387657067
2020,Sardegna,,,0226-CF000101-ST01,,RIU MOGORO,Superiore ai limiti,4,26,8,13,2,0.15,979579.9042646125,4819918.556323216
2020,Emilia Romagna,COLORNO,Naviglio a Colorno,01171700,PARMA,CAVO NAVIGLIO NAV. - MANDRACCHIO T.,Superiore ai limiti,6,591,41,98,6,12.303,1155105.3143960668,5610202.547735373
2020,Sardegna,,,0211-CF000104-ST01,,FIUME TEMO,Superiore ai limiti,10,130,5,54,2,0.833,950090.4805992666,4910529.366277628
2020,Sardegna,,,0182-CF000200-ST01,,RIU OTTAVA,Non quantificabile,7,50,0,15,0,,937155.6010101375,4982598.535126926
2020,Sardegna,,,0165-AT51000-0027,,Porto Pozzo,Non quantificabile,1,1,0,1,0,,1033665.3581275623,5040327.790834682
2020,Marche,,,R110195CH,Fiume Chienti,Fiume Chienti Tratto 2 C.I._A,Non quantificabile,4,100,0,26,0,,1456174.4371774022,5323954.273819949
2020,Lazio,Roma,,F4.64,Aniene,Fiume Aniene 5,Superiore ai limiti,9,1034,10,115,2,0.08,1395116.5640761307,5151050.177302016
2020,Basilicata,Genzano di Lucania,,IT017-BR-P16-L,Bradano,,Non quantificabile,4,360,46,83,0,0.22403,1786858.251280677,4990898.2680175435
2020,Sardegna,,,0223-CF000101-ST01,,FIUME TALORO,Non quantificabile,3,23,0,8,0,,1042091.8096232862,4885693.703712588
2020,Sardegna,,,0102-CF000103-ST01,,FIUME CEDRINO,Non quantificabile,5,85,2,23,0,0.022,1050513.017673221,4908785.863243425
2020,Sardegna,,,0211-LA4024,,Fiume Temo a Monteleone Roccadoria,Non quantificabile,10,169,0,16,0,,951519.4952998651,4935527.728675031
2020,Sardegna,,,0256-CF001400-ST01,,RIO MANNU DI SANTADI,Non quantificabile,8,53,0,10,0,,965104.9195554784,4736135.958643197
2020,Abruzzo,Cellino Attanasio,Castelnuovo Vomano,R1304VM6,Vomano,CI_Vomano_5,Non quantificabile,4,208,0,46,0,,1541295.6238472285,5254350.527379425
2020,Basilicata,Montescaglioso,,IT017-BR-P03-F,Bradano,,Non quantificabile,2,180,42,83,0,0.2032,1859979.006465669,4939014.60288976
2020,Basilicata,Senise,,IT017-SI-P03-F,Sinni,,Non quantificabile,2,180,4,83,0,0.0025,1815017.8589509707,4885207.335904012
2020,Basilicata,Marsico Nuovo,,IT017-AG-P13-L,Agri,,Non quantificabile,4,360,16,83,0,0.0388,1751844.1788007875,4928487.749708851
2020,Sardegna,,,0269-CF000200-ST01,,RIO DI TEULADA,Non quantificabile,2,30,0,15,0,,973456.2190875183,4715236.059628404
2020,Sardegna,,,0256-LA4035,,Rio Palmas a Monti Pranu,Non quantificabile,5,71,0,16,0,,958554.2928678798,4735085.745299139
2020,Sardegna,,,0302-AT50012-0967,,Stagno di Cagliari - NORD,Non quantificabile,3,7,0,3,0,,1005937.843957462,4759369.945659614
2020,Sardegna,,,0176-LA4015,,Coghinas a Castel Doria,Non quantificabile,9,152,0,16,0,,991178.4292688621,4992971.384729157
2020,Campania,Ailano(CE),PonteStradaComunaleSelva-Airola,LT2,VOLTURNO,LETE,Non quantificabile,1,2,0,2,0,,1577746.8998276854,5069177.121789419
2020,Emilia Romagna,CESENA,Pisciatello al ponte SP Sala a Cesena,16000250,RUBICONE,T. PISCIATELLO,Non quantificabile,6,576,27,95,0,0.227,1368594.9036490729,5487239.362333668
2020,Marche,SAN BENEDETTO DEL TRONTO,ponte S.S.Adriatica,I0287TR,Fiume Tronto,Fiume Tronto Tratto 3 C.I._B,Non quantificabile,10,225,0,29,0,,1547005.7424780868,5295595.714019881
2020,Lazio,Fondi,,T2.23,Fondi-Itri,Lago di Fondi,Non quantificabile,4,372,0,92,0,,1483799.021081342,5060777.623054349
2020,Abruzzo,Campotosto,"Km 31,6 SS 80",R1304VM1A,Vomano,CI_Vomano_1,Non quantificabile,2,104,0,46,0,,1490230.395789692,5235733.498815791
2020,Molise,SESTO CAMPANO,SOLFATARA,N011_018_SS_3_T_01,VOLTURNO,VOLTURNO,Non quantificabile,8,280,0,32,0,,1570135.2652455084,5072546.080151768
2020,Campania,CellediBulgheria(SA),SanSeverinodiCentola,M4,MINGARDO,MINGARDO,Non quantificabile,2,4,2,2,0,0.07,1709776.7645508843,4880131.905536511
2020,Basilicata,Ferrandina,,IT017-BS-P10-L,Basento,,Non quantificabile,4,360,21,83,0,0.00843,1831214.0276715436,4946240.156806321
2020,Basilicata,Montemurro,,IT017-PR01,Agri,,Non quantificabile,9,810,64,83,0,0.0344,1781176.3037384897,4906271.957606889
2020,Basilicata,Lauria,,IT017-SI-P12-L,Sinni,,Non quantificabile,4,360,9,83,0,0.0072,1772953.1727567487,4878475.485105006
2020,Basilicata,Aliano,,IT017-AG02,Agri,,Non quantificabile,2,180,19,83,0,0.0173,1819535.8250241305,4910572.336344019
2020,Basilicata,Irsina,,IT017-BR01,Bradano,,Non quantificabile,2,180,21,83,0,0.0289,1799218.707758979,4973911.77079792
2020,Basilicata,Montescaglioso,,IT017-BR-P02-F,Bradano,,Non quantificabile,2,180,30,83,0,0.2729,1859787.4391015407,4946044.748805854
2020,Campania,Serre(SA),PonteSP334BorgoS.Cesareo,CL6,SELE,CALORELUCANO,Non quantificabile,6,331,1,75,0,0.04,1674601.3400931673,4940632.023082653
2020,Basilicata,Ferrandina,,IT017-CA-P05-F,Cavone,,Non quantificabile,2,180,10,83,0,0.0112,1820096.0494942,4932270.28298328
2020,Veneto,BELLUNO,PONTE DELL'ANTA,1272,PIAVE,TORRENTE ARDO,Non quantificabile,4,8,0,2,0,,1360627.223278269,5802423.973047246
