Comune,Codice stazione,Sostanza,Conc_max
aliano,IT017-AG-P03-F,"2,4-DICLOROFENOSSIACETICO ACIDO",0.002
aliano,IT017-AG-P03-F,TERBUTRINA,0.0012
sarconi,IT017-AG-P04-F,2-IDROSSITERBUTILAZINA,0.0004
sarconi,IT017-AG-P04-F,AZOSSISTROBINA,0.0004
sarconi,IT017-AG-P04-F,DIMETOMORF,0.0002
sarconi,IT017-AG-P04-F,MICLOBUTANIL,0.00026
sarconi,IT017-AG-P04-F,IOXINIL,0.0037
sarconi,IT017-AG-P04-F,ISOXAFLUTOLE,0.001266
sarconi,IT017-AG-P04-F,BOSCALID,0.00029
sarconi,IT017-AG-P04-F,METOLACLOR,0.0009
grumento nova,IT017-AG-P05-F,AZOSSISTROBINA,0.0007
grumento nova,IT017-AG-P09-F,AZOSSISTROBINA,0.0024
grumento nova,IT017-AG-P09-F,BOSCALID,0.0003
grumento nova,IT017-AG-P09-F,2-IDROSSITERBUTILAZINA,0.0258
grumento nova,IT017-AG-P09-F,ISOXAFLUTOLE,0.3967
grumento nova,IT017-AG-P09-F,TEBUCONAZOLO,0.0008
grumento nova,IT017-AG-P09-F,METOLACLOR,0.0003
grumento nova,IT017-AG-P09-F,"2,4-DICLOROFENOSSIACETICO ACIDO",0.0106
grumento nova,IT017-AG-P09-F,CLORANTRANILIPROLO,0.0002
grumento nova,IT017-AG-P09-F,TIABENDAZOLO,0.0004
grumento nova,IT017-AG-P09-F,TERBUTRINA,0.0005
grumento nova,IT017-AG-P09-F,DIMETOMORF,0.0009
grumento nova,IT017-AG-P09-F,MICLOBUTANIL,0.00026
grumento nova,IT017-AG-P09-F,"DDT, pp",0.0005
grumento nova,IT017-AG-P09-F,TETRACONAZOLO,0.001
marsicovetere,IT017-AG-P11-F,AZOSSISTROBINA,0.0002
marsicovetere,IT017-AG-P11-F,TEBUCONAZOLO,0.0219
marsicovetere,IT017-AG-P11-F,CLORANTRANILIPROLO,0.0002
marsicovetere,IT017-AG-P11-F,DIMETOMORF,0.0026
marsicovetere,IT017-AG-P11-F,METOLACLOR,0.0005
marsicovetere,IT017-AG-P11-F,2-IDROSSITERBUTILAZINA,0.0004
marsicovetere,IT017-AG-P11-F,TERBUTRINA,0.0015
marsico nuovo,IT017-AG-P13-L,AZOSSISTROBINA,0.0003
marsico nuovo,IT017-AG-P13-L,TEBUCONAZOLO,0.0043
marsico nuovo,IT017-AG-P13-L,METOLACLOR,0.001
irsina,IT017-BR01,TEBUCONAZOLO,0.0033
irsina,IT017-BR01,TERBUTRINA,0.0015
irsina,IT017-BR01,BOSCALID,0.0004
irsina,IT017-BR01,AZOSSISTROBINA,0.0033
irsina,IT017-BR01,DIMETOMORF,0.0022
irsina,IT017-BR01,MESOSULFURON-METILE,0.0012
irsina,IT017-BR01,CIPROCONAZOLO,0.0005099999999999
bernalda,IT017-BR-P01-F,CIPROCONAZOLO,0.00372
bernalda,IT017-BR-P01-F,BOSCALID,0.0014
bernalda,IT017-BR-P01-F,"2,4-DICLOROFENOSSIACETICO ACIDO",0.019
bernalda,IT017-BR-P01-F,PROPOXUR,0.0005099999999999
bernalda,IT017-BR-P01-F,MICLOBUTANIL,0.00031
bernalda,IT017-BR-P01-F,TERBUTRINA,0.0023
bernalda,IT017-BR-P01-F,PROPICONAZOLO,0.0003399999999999
bernalda,IT017-BR-P01-F,CLORIDAZON,0.00011
bernalda,IT017-BR-P01-F,AZOSSISTROBINA,0.0042
bernalda,IT017-BR-P01-F,TETRACONAZOLO,0.00117
bernalda,IT017-BR-P01-F,TIABENDAZOLO,0.00039
bernalda,IT017-BR-P01-F,TEBUCONAZOLO,0.00385
bernalda,IT017-BR-P01-F,METOLACLOR,0.0002
bernalda,IT017-BR-P01-F,DIURON,0.0085
bernalda,IT017-BR-P01-F,MESOSULFURON-METILE,0.00049
bernalda,IT017-BR-P01-F,DIMETOMORF,0.0001899999999999
montescaglioso,IT017-BR-P02-F,TERBUTRINA,0.0113
montescaglioso,IT017-BR-P02-F,AZOSSISTROBINA,0.0064
montescaglioso,IT017-BR-P02-F,"2,4-DICLOROFENOSSIACETICO ACIDO",0.0798
montescaglioso,IT017-BR-P02-F,MECOPROP,0.0814
montescaglioso,IT017-BR-P02-F,PENCONAZOLO,0.001
montescaglioso,IT017-BR-P02-F,2-IDROSSITERBUTILAZINA,0.0167
montescaglioso,IT017-BR-P02-F,METALAXIL-M,0.0058
montescaglioso,IT017-BR-P02-F,FENHEXAMID,0.0106
montescaglioso,IT017-BR-P02-F,CLORANTRANILIPROLO,0.0006
montescaglioso,IT017-BR-P02-F,MESOSULFURON-METILE,0.0027
montescaglioso,IT017-BR-P02-F,DIMETOMORF,0.0008
montescaglioso,IT017-BR-P02-F,MICLOBUTANIL,0.0006
montescaglioso,IT017-BR-P02-F,TETRACONAZOLO,0.005
montescaglioso,IT017-BR-P02-F,CIPROCONAZOLO,0.008
montescaglioso,IT017-BR-P02-F,MCPA,0.0067
montescaglioso,IT017-BR-P02-F,SIMAZINA,0.0009
montescaglioso,IT017-BR-P02-F,DIURON,0.009
montescaglioso,IT017-BR-P02-F,TIABENDAZOLO,0.0008
montescaglioso,IT017-BR-P02-F,ISOPROTURON,0.0034
montescaglioso,IT017-BR-P02-F,DIMETOATO,0.00026
montescaglioso,IT017-BR-P02-F,TEBUCONAZOLO,0.0143
montescaglioso,IT017-BR-P03-F,AZOSSISTROBINA,0.012
montescaglioso,IT017-BR-P03-F,MCPA,0.015
montescaglioso,IT017-BR-P03-F,CIPROCONAZOLO,0.0206
montescaglioso,IT017-BR-P03-F,MESOSULFURON-METILE,0.0052
montescaglioso,IT017-BR-P03-F,TIABENDAZOLO,0.00042
montescaglioso,IT017-BR-P03-F,TETRACONAZOLO,0.004
montescaglioso,IT017-BR-P03-F,"2,4-DICLOROFENOSSIACETICO ACIDO",0.0798
montescaglioso,IT017-BR-P03-F,TEBUCONAZOLO,0.0103
montescaglioso,IT017-BR-P03-F,MICLOBUTANIL,0.0006
montescaglioso,IT017-BR-P03-F,TERBUTRINA,0.0143
montescaglioso,IT017-BR-P03-F,METALAXIL-M,0.012
montescaglioso,IT017-BR-P03-F,DIMETOMORF,0.0029
montescaglioso,IT017-BR-P03-F,PENCONAZOLO,0.003
montescaglioso,IT017-BR-P03-F,DIMETOATO,0.0011
montescaglioso,IT017-BR-P03-F,METOLACLOR,0.00035
montescaglioso,IT017-BR-P03-F,CLORANTRANILIPROLO,0.0006
montescaglioso,IT017-BR-P03-F,CLORIDAZON,0.0001199999999999
montescaglioso,IT017-BR-P03-F,CICLOXIDIM,0.0001199999999999
montescaglioso,IT017-BR-P03-F,MECOPROP,0.0031
genzano di lucania,IT017-BR-P06-F,AZOSSISTROBINA,0.0195
genzano di lucania,IT017-BR-P06-F,"2,4-DICLOROFENOSSIACETICO ACIDO",0.036
genzano di lucania,IT017-BR-P06-F,TEBUCONAZOLO,0.0054
genzano di lucania,IT017-BR-P06-F,CIPROCONAZOLO,0.0195
genzano di lucania,IT017-BR-P06-F,BOSCALID,0.0009
genzano di lucania,IT017-BR-P06-F,TERBUTRINA,0.0053
genzano di lucania,IT017-BR-P06-F,DIMETOATO,0.0007
genzano di lucania,IT017-BR-P06-F,CLORANTRANILIPROLO,0.0016
genzano di lucania,IT017-BR-P06-F,METALAXIL-M,0.1929
genzano di lucania,IT017-BR-P06-F,2-IDROSSITERBUTILAZINA,0.0014
genzano di lucania,IT017-BR-P06-F,MESOSULFURON-METILE,0.0013
genzano di lucania,IT017-BR-P06-F,TIABENDAZOLO,0.0002
genzano di lucania,IT017-BR-P06-F,CLORIDAZON,0.00015
genzano di lucania,IT017-BR-P06-F,TETRACONAZOLO,0.002
genzano di lucania,IT017-BR-P06-F,BENTAZONE,0.09
genzano di lucania,IT017-BR-P06-F,MECOPROP,0.002
genzano di lucania,IT017-BR-P06-F,METOLACLOR,0.0009
genzano di lucania,IT017-BR-P06-F,CICLOXIDIM,0.00103
genzano di lucania,IT017-BR-P06-F,DIMETOMORF,0.0014
irsina,IT017-BR-P08-F,DIMETOATO,0.0004
irsina,IT017-BR-P08-F,AZOSSISTROBINA,0.0109
irsina,IT017-BR-P08-F,TETRACONAZOLO,0.003
irsina,IT017-BR-P08-F,"2,4-DICLOROFENOSSIACETICO ACIDO",0.031
irsina,IT017-BR-P08-F,TERBUTRINA,0.0007
irsina,IT017-BR-P08-F,TEBUCONAZOLO,0.0147
irsina,IT017-BR-P08-F,DIMETOMORF,0.0021
irsina,IT017-BR-P08-F,MICLOBUTANIL,0.0005
irsina,IT017-BR-P08-F,CLORANTRANILIPROLO,0.0006
irsina,IT017-BR-P08-F,DIURON,0.0042
irsina,IT017-BR-P08-F,METALAXIL-M,0.0046
irsina,IT017-BR-P08-F,TIABENDAZOLO,0.0001
irsina,IT017-BR-P08-F,2-IDROSSITERBUTILAZINA,0.0023
irsina,IT017-BR-P08-F,CIPROCONAZOLO,0.00086
irsina,IT017-BR-P08-F,MESOSULFURON-METILE,0.0069999999999999
irsina,IT017-BR-P08-F,MCPA,0.02
irsina,IT017-BR-P08-F,PENCONAZOLO,0.001
irsina,IT017-BR-P08-F,BOSCALID,0.0009
irsina,IT017-BR-P08-F,MECOPROP,0.003
irsina,IT017-BR-P08-F,ATRAZINA DESISOPROPIL,0.00079
irsina,IT017-BR-P08-F,METOLACLOR,0.001
matera,IT017-BR-P12-F,DIMETOMORF,0.0009
matera,IT017-BR-P12-F,TIABENDAZOLO,0.0013
matera,IT017-BR-P12-F,AZOSSISTROBINA,0.0091
matera,IT017-BR-P12-F,TERBUTRINA,0.0273
matera,IT017-BR-P12-F,MICLOBUTANIL,0.0005
matera,IT017-BR-P12-F,MECOPROP,0.0035
matera,IT017-BR-P12-F,DIMETOATO,0.001
matera,IT017-BR-P12-F,CIPROCONAZOLO,0.0182
matera,IT017-BR-P12-F,TEBUCONAZOLO,0.009
matera,IT017-BR-P12-F,"2,4-DICLOROFENOSSIACETICO ACIDO",0.023
matera,IT017-BR-P12-F,DIURON,0.0466
matera,IT017-BR-P12-F,METOLACLOR,0.00013
matera,IT017-BR-P12-F,PROPOXUR,0.00128
matera,IT017-BR-P12-F,BOSCALID,0.0008
matera,IT017-BR-P12-F,PROPICONAZOLO,0.00044
matera,IT017-BR-P12-F,TETRACONAZOLO,0.003
matera,IT017-BR-P12-F,PENCONAZOLO,0.0012
matera,IT017-BR-P12-F,2-IDROSSITERBUTILAZINA,0.0217
matera,IT017-BR-P12-F,METALAXIL-M,0.0311
matera,IT017-BR-P12-F,ATRAZINA DESISOPROPIL,0.00154
matera,IT017-BR-P12-F,FENHEXAMID,0.0004799999999999
matera,IT017-BR-P12-F,MESOSULFURON-METILE,0.0039
matera,IT017-BR-P12-F,CLORANTRANILIPROLO,0.0007
tolve,IT017-BR-P13-F,"2,4-DICLOROFENOSSIACETICO ACIDO",0.1805
tolve,IT017-BR-P13-F,MECOPROP,0.0012
tolve,IT017-BR-P13-F,AZOSSISTROBINA,0.001
tolve,IT017-BR-P13-F,DIMETOATO,0.0014
tolve,IT017-BR-P13-F,TERBUTRINA,0.0008
tolve,IT017-BR-P13-F,METALAXIL-M,0.0069
tolve,IT017-BR-P13-F,MCPA,0.2176
tolve,IT017-BR-P13-F,TEBUCONAZOLO,0.0008
acerenza,IT017-BR-P15-L,MCPA,0.006
acerenza,IT017-BR-P15-L,MESOSULFURON-METILE,0.0086
acerenza,IT017-BR-P15-L,"2,4-DICLOROFENOSSIACETICO ACIDO",0.306
acerenza,IT017-BR-P15-L,TERBUTRINA,0.0014
acerenza,IT017-BR-P15-L,AZOSSISTROBINA,0.0127
acerenza,IT017-BR-P15-L,TEBUCONAZOLO,0.0068
acerenza,IT017-BR-P15-L,MECOPROP,0.005
genzano di lucania,IT017-BR-P16-L,"2,4-DICLOROFENOSSIACETICO ACIDO",0.184
genzano di lucania,IT017-BR-P16-L,TERBUTRINA,0.0025
genzano di lucania,IT017-BR-P16-L,DIMETOATO,0.0041
genzano di lucania,IT017-BR-P16-L,MECOPROP,0.009
genzano di lucania,IT017-BR-P16-L,TEBUCONAZOLO,0.00325
genzano di lucania,IT017-BR-P16-L,MCPA,0.005
genzano di lucania,IT017-BR-P16-L,BENTAZONE,0.022
genzano di lucania,IT017-BR-P16-L,AZOSSISTROBINA,0.0043
genzano di lucania,IT017-BR-P16-L,CIPROCONAZOLO,0.00314
genzano di lucania,IT017-BR-P16-L,CLORANTRANILIPROLO,0.001
genzano di lucania,IT017-BR-P16-L,2-IDROSSITERBUTILAZINA,0.0042
genzano di lucania,IT017-BR-P16-L,DIMETOMORF,0.0024
genzano di lucania,IT017-BR-P16-L,TIABENDAZOLO,0.0001899999999999
genzano di lucania,IT017-BR-P16-L,DIURON,0.003
genzano di lucania,IT017-BR-P16-L,METALAXIL-M,0.002
genzano di lucania,IT017-BR-P16-L,MESOSULFURON-METILE,0.00035
genzano di lucania,IT017-BR-P16-L,TETRACONAZOLO,0.001
genzano di lucania,IT017-BR-P16-L,PIRACLOSTROBIN,0.0004
genzano di lucania,IT017-BR-P16-L,BOSCALID,0.0008
genzano di lucania,IT017-BR-P18-L,MESOSULFURON-METILE,0.0055
genzano di lucania,IT017-BR-P18-L,TEBUCONAZOLO,0.00967
genzano di lucania,IT017-BR-P18-L,AZOSSISTROBINA,0.0109
genzano di lucania,IT017-BR-P18-L,METALAXIL-M,0.005
genzano di lucania,IT017-BR-P18-L,METOLACLOR,0.0003
genzano di lucania,IT017-BR-P18-L,MCPA,0.012
genzano di lucania,IT017-BR-P18-L,TETRACONAZOLO,0.00343
genzano di lucania,IT017-BR-P18-L,"2,4-DICLOROFENOSSIACETICO ACIDO",0.1639
genzano di lucania,IT017-BR-P18-L,MICLOBUTANIL,0.0007
genzano di lucania,IT017-BR-P18-L,DIMETOMORF,0.0012
genzano di lucania,IT017-BR-P18-L,CIPROCONAZOLO,0.0231
genzano di lucania,IT017-BR-P18-L,MECOPROP,0.0057
genzano di lucania,IT017-BR-P18-L,BENTAZONE,0.0068
genzano di lucania,IT017-BR-P18-L,DIMETOATO,0.0002
genzano di lucania,IT017-BR-P18-L,BOSCALID,0.00117
genzano di lucania,IT017-BR-P18-L,2-IDROSSITERBUTILAZINA,0.0032
genzano di lucania,IT017-BR-P18-L,TERBUTRINA,0.0007
genzano di lucania,IT017-BR-P18-L,PENCONAZOLO,0.001
genzano di lucania,IT017-BR-P18-L,CLORIDAZON,0.00039
genzano di lucania,IT017-BR-P18-L,CICLOXIDIM,0.00011
genzano di lucania,IT017-BR-P18-L,CLORANTRANILIPROLO,0.0008289999999999
genzano di lucania,IT017-BR-P18-L,METRIBUZIN,0.00178
genzano di lucania,IT017-BR-P18-L,TIABENDAZOLO,0.0003
genzano di lucania,IT017-BR-P18-L,METOSSIFENOZIDE,0.00067
albano di lucania,IT017-BS01,BOSCALID,0.00072
albano di lucania,IT017-BS01,TERBUTRINA,0.0129
albano di lucania,IT017-BS01,TIABENDAZOLO,0.00042
albano di lucania,IT017-BS01,TEBUCONAZOLO,0.002
albano di lucania,IT017-BS01,AZOSSISTROBINA,0.0004
albano di lucania,IT017-BS01,DIMETOMORF,0.0007
albano di lucania,IT017-BS01,2-IDROSSITERBUTILAZINA,0.00851
albano di lucania,IT017-BS01,MECOPROP,0.0069999999999999
albano di lucania,IT017-BS01,"2,4-DICLOROFENOSSIACETICO ACIDO",0.002
pisticci,IT017-BS03,TERBUTRINA,0.0027
pisticci,IT017-BS03,MECOPROP,0.042
pisticci,IT017-BS03,TEBUCONAZOLO,0.0058
pisticci,IT017-BS03,SIMAZINA,0.0122
pisticci,IT017-BS03,DIURON,0.003
pisticci,IT017-BS03,PIRIMICARB-DESMETILE,0.1084
pisticci,IT017-BS03,AZOSSISTROBINA,0.002
pisticci,IT017-BS03,CLORIDAZON,0.0052
pisticci,IT017-BS03,DIMETOMORF,0.0048
pisticci,IT017-BS03,MICLOBUTANIL,0.0027
pisticci,IT017-BS03,TIABENDAZOLO,0.0003
pisticci,IT017-BS03,TETRACONAZOLO,0.011
pisticci,IT017-BS03,METALAXIL-M,0.0613
pisticci,IT017-BS03,2-IDROSSITERBUTILAZINA,0.0088
pisticci,IT017-BS03,PENCONAZOLO,0.001
pisticci,IT017-BS03,DIMETOATO,0.0004
pisticci,IT017-BS03,METOLACLOR,0.0002
pisticci,IT017-BS03,CLORANTRANILIPROLO,0.0001
pisticci,IT017-BS03,"2,4-DICLOROFENOSSIACETICO ACIDO",0.003
brindisi di montagna,IT017-BS-P01-F,TERBUTRINA,0.0198
brindisi di montagna,IT017-BS-P01-F,BOSCALID,0.0007
brindisi di montagna,IT017-BS-P01-F,TIABENDAZOLO,0.0005
brindisi di montagna,IT017-BS-P01-F,AZOSSISTROBINA,0.0004
brindisi di montagna,IT017-BS-P01-F,TRIFLURALIN,0.0005
brindisi di montagna,IT017-BS-P01-F,PENCONAZOLO,0.001
brindisi di montagna,IT017-BS-P01-F,METOSSIFENOZIDE,0.0013
brindisi di montagna,IT017-BS-P01-F,2-IDROSSITERBUTILAZINA,0.008
brindisi di montagna,IT017-BS-P01-F,MICLOBUTANIL,0.0007
brindisi di montagna,IT017-BS-P01-F,MECOPROP,0.006
brindisi di montagna,IT017-BS-P01-F,TEBUCONAZOLO,0.002
brindisi di montagna,IT017-BS-P01-F,DIMETOMORF,0.0001
brindisi di montagna,IT017-BS-P01-F,TETRACONAZOLO,0.001
brindisi di montagna,IT017-BS-P01-F,"2,4-DICLOROFENOSSIACETICO ACIDO",0.002
brindisi di montagna,IT017-BS-P01-F,DIURON,0.004
anzi,IT017-BS-P02-F,TEBUCONAZOLO,0.0019
anzi,IT017-BS-P02-F,2-IDROSSITERBUTILAZINA,0.005
anzi,IT017-BS-P02-F,AZOSSISTROBINA,0.0002
potenza,IT017-BS-P03-F,TERBUTRINA,0.002
potenza,IT017-BS-P03-F,TEBUCONAZOLO,0.0022
potenza,IT017-BS-P03-F,DIMETOMORF,0.0001
potenza,IT017-BS-P03-F,METRIBUZIN,0.0001
potenza,IT017-BS-P03-F,BOSCALID,0.0002
potenza,IT017-BS-P03-F,"2,4-DICLOROFENOSSIACETICO ACIDO",0.004
potenza,IT017-BS-P03-F,AZOSSISTROBINA,0.0002
potenza,IT017-BS-P03-F,MICLOBUTANIL,0.0004
montescaglioso,IT017-BS-P05-F,DIURON,0.013
montescaglioso,IT017-BS-P05-F,TIABENDAZOLO,0.00031
montescaglioso,IT017-BS-P05-F,PROPOXUR,0.00055
montescaglioso,IT017-BS-P05-F,BOSCALID,0.00057
montescaglioso,IT017-BS-P05-F,TEBUCONAZOLO,0.00074
montescaglioso,IT017-BS-P05-F,TERBUTRINA,0.0011
senise,IT017-SI-P02-F,DIMETOMORF,0.0002
senise,IT017-SI-P02-F,TEBUCONAZOLO,0.0002
senise,IT017-SI-P02-F,AZOSSISTROBINA,0.0002
san giorgio lucano,IT017-SI-P13-L,TEBUCONAZOLO,0.0059
san giorgio lucano,IT017-SI-P13-L,AZOSSISTROBINA,0.0008
san giorgio lucano,IT017-SI-P13-L,DIMETOMORF,0.0006
san giorgio lucano,IT017-SI-P13-L,2-IDROSSITERBUTILAZINA,0.0007
san giorgio lucano,IT017-SI-P13-L,MICLOBUTANIL,0.0039
san giorgio lucano,IT017-SI-P13-L,DIMETOATO,0.0002
san giorgio lucano,IT017-SI-P13-L,CLORANTRANILIPROLO,0.0002
san giorgio lucano,IT017-SI-P13-L,MESOSULFURON-METILE,0.0001
san giorgio lucano,IT017-SI-P13-L,BOSCALID,0.0023
san giorgio lucano,IT017-SI-P13-L,PENCONAZOLO,0.001
san giorgio lucano,IT017-SI-P13-L,METALAXIL-M,0.005
pescopagano,IT17-OF-P08-L,AZOSSISTROBINA,0.0063
grumento nova,IT017-AG01,TIABENDAZOLO,0.0002
grumento nova,IT017-AG01,DICLORVOS,0.0005
grumento nova,IT017-AG01,TERBUTRINA,0.0012
grumento nova,IT017-AG01,METOLACLOR,0.0014
grumento nova,IT017-AG01,2-IDROSSITERBUTILAZINA,0.0027
grumento nova,IT017-AG01,AZOSSISTROBINA,0.0002
grumento nova,IT017-AG01,CLORANTRANILIPROLO,0.001
grumento nova,IT017-AG01,ISOXAFLUTOLE,0.0266
grumento nova,IT017-AG01,METALAXIL-M,0.0146
grumento nova,IT017-AG01,DIMETOMORF,0.0014
grumento nova,IT017-AG01,TEBUCONAZOLO,0.0033
grumento nova,IT017-AG01,BOSCALID,0.0008
grumento nova,IT017-AG01,PIRACLOSTROBIN,0.0012
grumento nova,IT017-AG01,DIMETOATO,0.0004
grumento nova,IT017-AG-P05-F,2-IDROSSITERBUTILAZINA,0.0013
grumento nova,IT017-AG-P05-F,TERBUTRINA,0.002
grumento nova,IT017-AG-P05-F,TIABENDAZOLO,0.0004
grumento nova,IT017-AG-P05-F,BOSCALID,0.0007
grumento nova,IT017-AG-P05-F,METOLACLOR,0.0267
grumento nova,IT017-AG-P05-F,BENTAZONE,0.0053
grumento nova,IT017-AG-P05-F,TEBUCONAZOLO,0.002
grumento nova,IT017-AG-P05-F,CLORANTRANILIPROLO,0.0003
grumento nova,IT017-AG-P05-F,MICLOBUTANIL,0.0009
grumento nova,IT017-AG-P05-F,ISOXAFLUTOLE,0.0079
grumento nova,IT017-AG-P05-F,DIMETOATO,0.0003
grumento nova,IT017-AG-P05-F,PENCONAZOLO,0.001
grumento nova,IT017-AG-P05-F,DIMETOMORF,0.0006
marsico nuovo,IT017-AG-P13-L,2-IDROSSITERBUTILAZINA,0.0021
marsico nuovo,IT017-AG-P13-L,PENCONAZOLO,0.002
marsico nuovo,IT017-AG-P13-L,DIMETOMORF,0.0001199999999999
marsico nuovo,IT017-AG-P13-L,METALAXIL-M,0.002
marsico nuovo,IT017-AG-P13-L,ISOXAFLUTOLE,0.0282
irsina,IT017-BR01,2-IDROSSITERBUTILAZINA,0.0029
irsina,IT017-BR01,PENCONAZOLO,0.001
irsina,IT017-BR01,METOLACLOR,0.0002
irsina,IT017-BR01,METALAXIL-M,0.0046
irsina,IT017-BR01,TETRACONAZOLO,0.002
irsina,IT017-BR01,MECOPROP,0.002
irsina,IT017-BR01,MICLOBUTANIL,0.0006
irsina,IT017-BR01,"2,4-DICLOROFENOSSIACETICO ACIDO",0.012
montescaglioso,IT017-BR-P03-F,2-IDROSSITERBUTILAZINA,0.0108
montescaglioso,IT017-BR-P03-F,DIURON,0.0013
montescaglioso,IT017-BR-P03-F,BENTAZONE,0.003
montescaglioso,IT017-BR-P03-F,BOSCALID,0.00121
acerenza,IT017-BR-P15-L,2-IDROSSITERBUTILAZINA,0.0014
acerenza,IT017-BR-P15-L,DIMETOMORF,0.0011
acerenza,IT017-BR-P15-L,CIPROCONAZOLO,0.0247
acerenza,IT017-BR-P15-L,METALAXIL-M,0.0068
acerenza,IT017-BR-P15-L,TETRACONAZOLO,0.003
acerenza,IT017-BR-P15-L,BENTAZONE,0.002
acerenza,IT017-BR-P15-L,BOSCALID,0.001
acerenza,IT017-BR-P15-L,CLORANTRANILIPROLO,0.0005
acerenza,IT017-BR-P15-L,ISOPROTURON,0.001
acerenza,IT017-BR-P15-L,METOLACLOR,0.0012
acerenza,IT017-BR-P15-L,DIMETOATO,0.0001
tricarico,IT017-BS-P08-F,TERBUTRINA,0.0048
tricarico,IT017-BS-P08-F,TEBUCONAZOLO,0.0006
tricarico,IT017-BS-P08-F,AZOSSISTROBINA,0.0013
tricarico,IT017-BS-P08-F,MICLOBUTANIL,0.0005
tricarico,IT017-BS-P08-F,MECOPROP,0.0012
tricarico,IT017-BS-P08-F,2-IDROSSITERBUTILAZINA,0.0023
tricarico,IT017-BS-P08-F,METALAXIL-M,0.002
tricarico,IT017-BS-P08-F,PIRIMICARB-DESMETILE,0.0003
tricarico,IT017-BS-P08-F,TIABENDAZOLO,0.0003
tricarico,IT017-BS-P08-F,BOSCALID,0.0004
tricarico,IT017-BS-P08-F,DIMETOMORF,0.0018
vaglio basilicata,IT017-BS-P09-F,TERBUTRINA,0.0152
vaglio basilicata,IT017-BS-P09-F,TIABENDAZOLO,0.0006
vaglio basilicata,IT017-BS-P09-F,BOSCALID,0.0007
